grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
16,27,28,1.0,True,finished,65,109.72,UULDLDULULRDRRURUULDDDULDLLUULLUDDURRDLRUULRDDRRRUUULULLDDDLDRRDR
16,29,30,1.0,True,finished,36,53.62,LLULLDLLURUUUDRRDRLLLDLLURRRDRUUUURU
16,30,31,1.0,True,finished,39,55.53,DDDRDDLURUULUURRDLRRRURRDLLLLULDDDDLDRR
16,31,32,1.0,True,finished,46,61.90,RUULUDRDDLLDLLUURDRRURULUUULLDRURDDDDRDLLDLULU
16,32,33,1.0,True,finished,80,174.54,DRDRURURRRLDRRDDLUULLLLRRDLULLDRURRDRRDRDDDLLULRRURUULDDDUUULLLULLDRRRRURDDDRDLL
16,35,36,1.0,True,finished,40,59.06,RRLURDDRRRUURUULLUULLLLDDRULURRRRDDDDRUU
16,37,38,1.0,True,finished,62,93.13,LLLLRURRUURULDDDLLLLLULURLUURDDDDRRRRRUUUUULLULLLDDDDDLDRRRRDR
17,0,1,1.0,True,finished,50,2.76,DULLLDDDRRRDDLLLLRRRRUULLLDURRRDDLURULLRDDLLUUUULU
17,1,2,1.0,True,finished,44,0.59,DDDDDRRRRRUULLUUDDRRULDLURRDDDLLLLLUUURRRRDR
17,6,7,1.0,True,finished,45,54.38,DLULRRRRURULLLUUDLDLDLURRRRUDRRULLULDRDLLLLUL
17,19,20,1.0,True,finished,43,46.12,RRDRRRDRDRDDDLULDLLLLUURURRDLLULDDLDRRRRRUR
17,25,26,1.0,True,finished,41,20.75,LUULLUUUURRRRRRLLDDRRLLUURRDULLLLLLDDRRRR
17,27,28,1.0,False,timeout,0,350.08,
17,37,38,1.0,True,finished,61,73.38,DDUULLDLLLULLDRDDLDDRRDDLLUURUURDLUUURRRDRRDLDLUURULLLULDDDRD
17,41,42,1.0,True,finished,49,11.94,UURRDRDRDDLLLRRRUULDRDLDLLURRUUULULLDDLDDRRRDRUUU
17,42,43,1.0,False,timeout,0,350.24,
17,45,46,1.0,True,finished,38,2.66,URRDLULDLULDRDDDUUURRDDDLLURLUURRDDLDR
17,46,47,1.0,True,finished,44,33.83,RRDDRRRDLDUURUULDDLLUULLDDRRRRLDDRURULLLLULD
17,48,49,1.0,True,finished,48,10.85,DDLDRLURULLRDRULLUULUURRRURDRDULLLLLDDRULURRRRDR
17,52,53,1.0,True,finished,41,19.32,DLLULUUULLDRLDDRDRRULLRUURRRUULDRDLLLLULD
17,73,74,1.0,True,finished,74,122.97,ULLLDURRRDDRUDDRRURDLLLULLUDDLDDDURUUURUURRRDDUULLDDDLLURUURRRDDRDLLLLULDD
